time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,
638140284087816510,1406.72,1406.73,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117869407,1406.47,1406.73,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117876774,1406.47,1406.71,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117877872,1406.47,1406.71,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117878637,1406.47,1406.66,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117878935,1406.47,1406.59,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117879305,1406.47,1406.59,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117879686,1406.47,1406.59,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117880049,1406.47,1406.59,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117880639,1406.47,1406.58,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117880892,1406.47,1406.48,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117881394,1406.47,1406.48,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117881737,1406.47,1406.48,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117882107,1406.47,1406.48,1404.63,1408.62,1407.27,1405.1,0,0,
638140284117882515,1406.47,1406.48,1404.63,1408.62,1407.27,1405.1,0,0,
638140284118188693,1406.47,1406.48,1404.63,1408.62,1407.03,1405.1,0,0,
638140284118951202,1406.33,1406.48,1404.63,1408.62,1407.03,1405.1,0,0,
638140284118982390,1406.33,1406.42,1404.63,1408.62,1407.03,1405.1,0,0,
638140284118982953,1406.33,1406.41,1404.63,1408.62,1407.03,1405.1,0,0,
638140284118983373,1406.33,1406.41,1404.63,1408.62,1407.03,1405.1,0,0,
638140284118983804,1406.33,1406.41,1404.63,1408.62,1407.03,1405.1,0,0,
638140284118984277,1406.33,1406.38,1404.63,1408.62,1407.03,1405.1,0,0,
638140284118984667,1406.33,1406.34,1404.63,1408.62,1407.03,1405.1,0,0,
638140284121436318,1406.33,1406.34,1404.63,1408.62,1406.79,1405.1,0,0,
638140284121782480,1406.33,1406.31,1404.63,1408.62,1406.79,1405.1,0,0,
638140284121782953,1406.33,1406.31,1404.63,1408.62,1406.79,1405.1,0,0,
638140284121805718,1406.3,1406.31,1404.63,1408.62,1406.79,1405.1,0,0,
638140284127763752,1406.23,1406.24,1404.63,1408.62,1406.79,1405.1,0,0,
638140284127765533,1406.23,1406.24,1404.63,1408.62,1406.79,1405.1,0,0,
638140284129915247,1406.11,1406.24,1404.63,1408.62,1406.79,1405.1,0,0,
638140284129922503,1406.11,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284129922888,1406.11,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137128150,1406.12,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137128524,1406.16,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137129017,1406.2,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137129428,1406.21,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137129984,1406.21,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137131506,1406.29,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137131902,1406.29,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137133534,1406.44,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137134569,1406.44,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
