time,binanceLINKBTCbidMax,binanceLINKBTCsellMin,nicehashLINKBTCbidMax,nicehashLINKBTCsellMin,okxLINKBTCLINK-BTCbidMax,okxLINKBTCLINK-BTCsellMin,bitstampLINKBTCbidMax,bitstampLINKBTCsellMin,
638140288677675736,0.0003094,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140288724702192,0.0003093,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140288725361407,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288748705723,0.0003094,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288760109282,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288793776163,0.0003094,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288828797693,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288829749437,0.0003094,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288830756605,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288834715522,0.0003094,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288854854436,0.0003095,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288857930403,0.0003095,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140288875731684,0.0003096,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140288883890284,0.0003095,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140288901822054,0.0003096,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140288907755657,0.0003095,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140288939776511,0.0003094,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140288998808029,0.0003095,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140289008999228,0.0003094,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140289009762205,0.0003095,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140289064961834,0.0003096,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140289065970436,0.0003095,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140289113972591,0.0003094,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140289144922100,0.0003095,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140289145891640,0.0003094,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140289233910426,0.0003093,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
638140289235255747,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289235256509,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289262986107,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289375064982,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289375975744,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289381879287,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289401917942,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289404930628,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289407124521,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289409018379,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289448944162,0.0003094,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289475158161,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289566095344,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140289819585719,0.0003092,0.0003085,0.00030885,0.00030881,0.000309,0.00031,0,0,
638140289826053623,0.0003092,0.0003085,0.00030885,0.00030881,0.000308,0.00031,0,0,
638140289842469174,0.0003092,0.0003085,0.00030868,0.00030881,0.000308,0.00031,0,0,
638140289844237464,0.0003091,0.0003085,0.00030868,0.00030881,0.000308,0.00031,0,0,
638140290067220707,0.0003092,0.0003085,0.00030868,0.00030881,0.000308,0.00031,0,0,
638140290146476943,0.0003092,0.0003085,0.00030868,0.00030881,0.000309,0.00031,0,0,
638140290185401550,0.0003093,0.0003085,0.00030868,0.00030881,0.000309,0.00031,0,0,
638140290186916536,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140290187397182,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140290189285113,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140290191349945,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140290199257703,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140290219247843,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140290222386960,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140290267420157,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140290528233361,0.0003092,0.0003085,0.00030887,0.00030881,0.000308,0.00031,0,0,
638140290676533151,0.0003091,0.0003085,0.00030887,0.00030881,0.000308,0.00031,0,0,
638140290676992892,0.0003091,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140290995651612,0.000309,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140291467177568,0.000309,0.0003085,0.00030867,0.00030881,0.000309,0.00031,0,0,
638140291611221379,0.000309,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
