time,binanceUNIBTCbidMax,binanceUNIBTCsellMin,nicehashUNIBTCbidMax,nicehashUNIBTCsellMin,okxUNIBTCUNI-BTCbidMax,okxUNIBTCUNI-BTCsellMin,bitstampUNIBTCbidMax,bitstampUNIBTCsellMin,
638140287931888032,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002796,0,0,
638140287942978108,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002797,0,0,
638140287942984634,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002797,0,0,
638140287945957464,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002797,0,0,
638140287970909156,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002797,0,0,
638140287974864815,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140287975998776,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140287998000735,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002794,0,0,
638140288020032390,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140288120067098,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140288136103142,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002797,0,0,
638140288136103494,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002797,0,0,
638140288139893953,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140288139895313,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140288143951685,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140288164972237,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002796,0,0,
638140288197071112,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002795,0,0,
638140288199091909,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002796,0,0,
638140288200965565,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002795,0,0,
638140288204090188,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002796,0,0,
638140288212944327,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140288214977759,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140288216088177,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002795,0,0,
638140288217006190,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140288220131027,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140288223067545,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002796,0,0,
638140288224000147,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002795,0,0,
638140288225101093,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140288233997123,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140288256928460,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002794,0,0,
638140288256928818,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002794,0,0,
638140288261068938,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002794,0,0,
638140288264313587,0.0002794,0.0002794,0.00027891,0.00027968,0.0002789,0.0002794,0,0,
