time,binanceBCHBTCbidMax,binanceBCHBTCsellMin,nicehashBCHBTCbidMax,nicehashBCHBTCsellMin,okxBCHBTCBCH-BTCbidMax,okxBCHBTCBCH-BTCsellMin,bitstampBCHBTCbidMax,bitstampBCHBTCsellMin,
638140287862034979,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287863139388,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287874014369,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287875067981,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287894999522,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287988035094,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287993093288,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287994034203,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287994990586,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287996116151,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140288021937246,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140288023034477,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140288048014684,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140288048951545,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140288063070358,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140288064961792,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140288078027499,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140288079969102,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140288165129808,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140288167160066,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140288290817329,0.00545,0.00546,0.00545413,0.00546725,0.00547,0.00549,0,0,
638140288296258129,0.00545,0.00546,0.00545413,0.00546725,0.00547,0.00548,0,0,
638140288298118365,0.00545,0.00546,0.00545413,0.00546725,0.00547,0.00549,0,0,
638140288299216779,0.00545,0.00546,0.00545413,0.00546725,0.00547,0.00548,0,0,
638140288300028527,0.00545,0.00546,0.00545413,0.00546725,0.00547,0.00549,0,0,
638140288301095258,0.00545,0.00546,0.00545413,0.00546725,0.00547,0.00548,0,0,
638140288310894460,0.00545,0.00546,0.0054433,0.00546725,0.00547,0.00548,0,0,
638140288312302555,0.00545,0.00546,0.00545255,0.00546725,0.00547,0.00548,0,0,
638140288385812962,0.00546,0.00546,0.00545255,0.00546725,0.00547,0.00548,0,0,
638140288437044869,0.00546,0.00546,0.00545255,0.00546725,0.00547,0.00549,0,0,
638140288438127133,0.00546,0.00546,0.00545255,0.00546725,0.00547,0.00548,0,0,
638140288444740752,0.00547,0.00546,0.00545255,0.00546725,0.00547,0.00548,0,0,
638140288449331273,0.00547,0.00546,0.00545255,0.00546725,0.00547,0.00549,0,0,
638140288450016778,0.00546,0.00546,0.00545255,0.00546725,0.00547,0.00549,0,0,
638140288479966621,0.00547,0.00546,0.00545255,0.00546725,0.00547,0.00549,0,0,
638140288488767358,0.00546,0.00546,0.00545255,0.00546725,0.00547,0.00549,0,0,
638140288519805686,0.00547,0.00546,0.00545255,0.00546725,0.00547,0.00549,0,0,
638140288521063907,0.00547,0.00546,0.00546253,0.00546725,0.00547,0.00549,0,0,
638140288533344190,0.00547,0.00546,0.00545282,0.00546725,0.00547,0.00549,0,0,
638140288534816030,0.00546,0.00546,0.00545282,0.00546725,0.00547,0.00549,0,0,
638140288539887020,0.00547,0.00546,0.00545282,0.00546725,0.00547,0.00549,0,0,
638140288543775397,0.00546,0.00546,0.00545282,0.00546725,0.00547,0.00549,0,0,
638140288559834048,0.00547,0.00546,0.00545282,0.00546725,0.00547,0.00549,0,0,
638140288563715734,0.00547,0.00546,0.00546253,0.00546725,0.00547,0.00549,0,0,
638140288569208104,0.00547,0.00546,0.00546253,0.00546725,0.00547,0.00548,0,0,
638140288579937362,0.00547,0.00546,0.00545284,0.00546725,0.00547,0.00548,0,0,
638140288579937812,0.00547,0.00546,0.00545284,0.00546725,0.00547,0.00548,0,0,
638140288638158335,0.00547,0.00546,0.00545284,0.00546725,0.00546,0.00548,0,0,
638140288639079317,0.00547,0.00546,0.00545284,0.00546725,0.00547,0.00548,0,0,
638140288659143205,0.00547,0.00546,0.00545284,0.00546725,0.00546,0.00548,0,0,
638140288660065588,0.00547,0.00546,0.00545284,0.00546725,0.00547,0.00548,0,0,
638140288667095385,0.00547,0.00546,0.00545284,0.00546725,0.00546,0.00548,0,0,
638140288667803112,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00548,0,0,
638140288676129153,0.00546,0.00546,0.00545284,0.00546725,0.00547,0.00548,0,0,
638140288677045207,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00548,0,0,
638140288678138029,0.00546,0.00546,0.00545284,0.00546725,0.00547,0.00548,0,0,
638140288679090152,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00548,0,0,
638140288680184782,0.00546,0.00546,0.00545284,0.00546725,0.00547,0.00548,0,0,
638140288681116814,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00548,0,0,
638140288695146354,0.00546,0.00546,0.00545284,0.00546725,0.00547,0.00548,0,0,
638140288703218570,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00548,0,0,
638140289028106824,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00547,0,0,
638140289048213466,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00548,0,0,
638140289051128163,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00547,0,0,
638140289064250281,0.00546,0.00546,0.00545284,0.00546725,0.00545,0.00547,0,0,
638140289069183713,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00547,0,0,
638140289071069009,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00548,0,0,
638140289078117679,0.00546,0.00546,0.00545284,0.00546725,0.00546,0.00547,0,0,
638140289079982201,0.00546,0.00546,0.00545284,0.00546725,0.00545,0.00547,0,0,
638140289124297750,0.00546,0.00546,0.00545284,0.00546725,0.00545,0.00546,0,0,
638140289133188353,0.00546,0.00546,0.00545284,0.00546725,0.00545,0.00547,0,0,
638140289172045360,0.00546,0.00546,0.00545284,0.00546725,0.00545,0.00546,0,0,
638140289192063842,0.00546,0.00546,0.00545284,0.00546725,0.00545,0.00547,0,0,
638140289195033993,0.00546,0.00546,0.00545284,0.00546725,0.00545,0.00546,0,0,
638140289202001276,0.00545,0.00546,0.00545284,0.00546725,0.00545,0.00546,0,0,
638140289202244808,0.00545,0.00546,0.00544377,0.00546725,0.00545,0.00546,0,0,
638140289202528733,0.00545,0.00546,0.00544287,0.00546725,0.00545,0.00546,0,0,
638140289387421324,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00546,0,0,
638140289393191204,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00545,0,0,
638140289400275455,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00546,0,0,
638140289403134688,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00545,0,0,
638140289411333207,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00546,0,0,
638140289427244873,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00545,0,0,
638140289428284570,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00546,0,0,
638140289431191940,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00545,0,0,
