time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,
638140282786788331,0.003692,0.003693,0.00368625,0.00369985,0.003691,0.003693,0,0,
638140282787819990,0.003692,0.003693,0.00368625,0.00369985,0.003691,0.003694,0,0,
638140282799023603,0.003693,0.003694,0.00368625,0.00369985,0.003691,0.003694,0,0,
638140282799024798,0.003693,0.003694,0.00368625,0.00369985,0.003691,0.003694,0,0,
638140282803776258,0.003693,0.003694,0.00368625,0.00369985,0.003691,0.003693,0,0,
638140282823873031,0.003693,0.003694,0.00368625,0.00369985,0.003691,0.003694,0,0,
638140282829844995,0.003693,0.003694,0.00368625,0.00369985,0.003691,0.003693,0,0,
638140282843236396,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140282849847474,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003694,0,0,
638140282853016784,0.003692,0.003694,0.0036875,0.00369985,0.003691,0.003694,0,0,
638140282856012826,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003694,0,0,
638140282858827154,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140282859014948,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140282859015745,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140282874124324,0.003691,0.003692,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140282874125626,0.003691,0.003692,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140282877968418,0.003692,0.003692,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140282877970279,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140282878779697,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003694,0,0,
638140282915809900,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140282935814148,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003694,0,0,
638140282973910509,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140282993759422,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003694,0,0,
638140282997833511,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140283020901957,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003692,0,0,
638140283021845087,0.003692,0.003693,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140283022168642,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140283022169266,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140283046820322,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003692,0,0,
638140283048995066,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003694,0,0,
638140283050855661,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140283081770621,0.003693,0.003694,0.0036875,0.00369985,0.003692,0.003693,0,0,
638140283086765296,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003693,0,0,
638140283096867661,0.003693,0.003694,0.0036875,0.00369985,0.003691,0.003694,0,0,
638140283098769639,0.003693,0.003694,0.0036875,0.00369985,0.003692,0.003694,0,0,
638140283106777836,0.003693,0.003694,0.0036875,0.00369985,0.003692,0.003693,0,0,
638140283107073251,0.003691,0.003694,0.0036875,0.00369985,0.003692,0.003693,0,0,
638140283107077343,0.003691,0.003692,0.0036875,0.00369985,0.003692,0.003693,0,0,
638140283107553278,0.003691,0.003692,0.0036875,0.00369749,0.003692,0.003693,0,0,
638140283107872277,0.003691,0.003692,0.0036875,0.00369749,0.003691,0.003693,0,0,
638140283108798579,0.003691,0.003692,0.0036875,0.00369749,0.003691,0.003692,0,0,
638140283112858073,0.003691,0.003692,0.0036875,0.00369749,0.003691,0.003693,0,0,
638140283114270214,0.003691,0.003693,0.0036875,0.00369749,0.003691,0.003693,0,0,
638140283130078174,0.003691,0.003692,0.0036875,0.00369749,0.003691,0.003693,0,0,
638140283131818460,0.003691,0.003692,0.0036875,0.00369749,0.003691,0.003692,0,0,
638140283131819129,0.003691,0.003692,0.0036875,0.00369749,0.003691,0.003692,0,0,
638140283133068135,0.003691,0.003692,0.0036875,0.00369749,0.003689,0.003692,0,0,
638140283133319031,0.003689,0.003692,0.0036875,0.00369749,0.003689,0.003692,0,0,
638140283133320087,0.003689,0.003691,0.0036875,0.00369749,0.003689,0.003692,0,0,
