time,binanceBTCUSDTbidMax,binanceBTCUSDTsellMin,nicehashBTCUSDTbidMax,nicehashBTCUSDTsellMin,okxBTCUSDTBTC-USDTbidMax,okxBTCUSDTBTC-USDTsellMin,bitstampBTCUSDTbidMax,bitstampBTCUSDTsellMin,
638140289753227032,19868,19869.26,19853.69,19900.51,19868.8,19808.6,0,0,
638140289753227522,19868,19869.26,19853.69,19900.51,19868.8,19808.6,0,0,
638140289754131484,19868,19869.5,19853.69,19900.51,19868.8,19808.6,0,0,
638140289754145783,19868.01,19869.5,19853.69,19900.51,19868.8,19808.6,0,0,
638140289755067482,19868.01,19869.67,19853.69,19900.51,19868.8,19808.6,0,0,
638140289755108089,19868.01,19870.06,19853.69,19900.51,19868.8,19808.6,0,0,
638140289755153940,19868.02,19870.06,19853.69,19900.51,19868.8,19808.6,0,0,
638140289755155269,19868.78,19870.06,19853.69,19900.51,19868.8,19808.6,0,0,
638140289756179344,19868.78,19870.85,19853.69,19900.51,19868.8,19808.6,0,0,
638140289756212090,19868.95,19870.85,19853.69,19900.51,19868.8,19808.6,0,0,
638140289756212765,19868.95,19870.85,19853.69,19900.51,19868.8,19808.6,0,0,
638140289757289531,19869.35,19870.85,19853.69,19900.51,19868.8,19808.6,0,0,
638140289757293118,19869.35,19870.85,19853.69,19900.51,19868.8,19808.6,0,0,
638140289757293775,19869.35,19870.85,19853.69,19900.51,19868.8,19808.6,0,0,
638140289757295638,19869.35,19870.85,19853.69,19900.51,19868.8,19808.6,0,0,
638140289757726674,19869.35,19870.85,19853.69,19900.5,19868.8,19808.6,0,0,
638140289758209084,19869.4,19870.85,19853.69,19900.5,19868.8,19808.6,0,0,
638140289758213171,19869.4,19870.85,19853.69,19900.5,19868.8,19808.6,0,0,
638140289758223332,19869.4,19870.94,19853.69,19900.5,19868.8,19808.6,0,0,
638140289758225200,19869.4,19870.83,19853.69,19900.5,19868.8,19808.6,0,0,
638140289758225683,19869.4,19870.83,19853.69,19900.5,19868.8,19808.6,0,0,
638140289758229231,19869.4,19870.59,19853.69,19900.5,19868.8,19808.6,0,0,
638140289759325108,19869.39,19870.59,19853.69,19900.5,19868.8,19808.6,0,0,
638140289759326394,19869.53,19870.59,19853.69,19900.5,19868.8,19808.6,0,0,
638140289759328908,19869.53,19870.59,19853.69,19900.5,19868.8,19808.6,0,0,
638140289759340606,19869.53,19870.6,19853.69,19900.5,19868.8,19808.6,0,0,
638140289759341123,19869.53,19871,19853.69,19900.5,19868.8,19808.6,0,0,
638140289760108300,19869.53,19871,19853.69,19900.5,19869,19808.6,0,0,
638140289760108835,19869.53,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760109419,19869.53,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760109916,19869.53,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760265611,19869.56,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760266185,19869.56,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760267404,19869.75,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760268790,19870.23,19871,19853.69,19900.5,19869.7,19808.6,0,0,
