time,binanceXRPBTCbidMax,binanceXRPBTCsellMin,nicehashXRPBTCbidMax,nicehashXRPBTCsellMin,okxXRPBTCXRP-BTCbidMax,okxXRPBTCXRP-BTCsellMin,bitstampXRPBTCbidMax,bitstampXRPBTCsellMin,
638140283141834112,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283157701318,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.851E-05,0,0,
638140283171772318,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283207723963,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.851E-05,0,0,
638140283217192631,1.849E-05,1.85E-05,1.848E-05,1.853E-05,1.849E-05,1.851E-05,0,0,
638140283217193780,1.849E-05,1.85E-05,1.848E-05,1.853E-05,1.849E-05,1.851E-05,0,0,
638140283224398020,1.849E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.851E-05,0,0,
638140283225332991,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.851E-05,0,0,
638140283247899501,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283248556652,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283250417016,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283254391949,1.851E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283254437048,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283259851644,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283269800990,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283270295306,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283271343530,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283272306315,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283275276951,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283277284554,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283278360933,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283279301317,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283280248634,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283287292359,1.851E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283287293106,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283290265755,1.851E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283290268050,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283297817178,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283298737349,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140283315807269,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283322752811,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140283332851174,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283383293325,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283384407503,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283384816765,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140283385788821,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283412707923,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.852E-05,0,0,
638140283412710390,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.851E-05,0,0,
638140283428775560,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283428777807,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283436789294,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283441706434,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.851E-05,0,0,
638140283443726478,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.852E-05,0,0,
638140283447808832,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.851E-05,0,0,
638140283448914232,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283465764590,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283497798138,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283509860029,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283517829934,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283520871208,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283527804259,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.852E-05,0,0,
638140283528734361,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283535846508,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283546761160,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283564697135,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140283566743187,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283636816832,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283668813872,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283680853063,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283743721528,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283800512944,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283802560073,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283803554481,1.851E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283803555197,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283805799524,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140283806821080,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283813754897,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140283821721541,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140283873702467,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140283888730134,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284008791894,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140284017777737,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284051840971,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140284052777511,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284064802847,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140284089801838,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140284089803729,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.853E-05,0,0,
638140284090791286,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284090793208,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140284117937674,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284119248889,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140284123927262,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284137165848,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140284142089407,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284150828826,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140284160868008,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284222696272,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284222883710,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140284235684510,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140284257788416,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284259811616,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140284274907375,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284348790324,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.852E-05,1.853E-05,0,0,
638140284388791823,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.853E-05,0,0,
638140284404695009,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140284405773613,1.852E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140284405774489,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140284413945997,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.854E-05,0,0,
638140284427907738,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284427911707,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284444031376,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284444973197,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.854E-05,0,0,
638140284444975758,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140284446921701,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284449857397,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284486924266,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284498977952,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284499985345,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.854E-05,0,0,
638140284499987707,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140284507055678,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284515096774,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140284515098593,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.854E-05,0,0,
638140284517013698,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284517017079,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284526897986,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140284535914345,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284557873472,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284565917878,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284578972342,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284612967049,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.854E-05,0,0,
638140284615951987,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284615952441,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284665875863,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140284665878232,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.854E-05,0,0,
638140284666806452,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284666809691,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284667810740,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284668870060,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.854E-05,0,0,
638140284674975695,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284674977767,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284715987097,1.851E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284717122541,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140284753889749,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284780047280,1.852E-05,1.854E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284781001781,1.853E-05,1.854E-05,1.848E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284782062677,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140284792837315,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.853E-05,1.854E-05,0,0,
638140284819829188,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140285090114293,1.852E-05,1.854E-05,1.85E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140285090116109,1.852E-05,1.853E-05,1.85E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140285126849752,1.852E-05,1.853E-05,1.85E-05,1.855E-05,1.853E-05,1.854E-05,0,0,
638140285142191378,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.853E-05,1.854E-05,0,0,
638140285142191721,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.853E-05,1.854E-05,0,0,
638140285143936360,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140285145824965,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.853E-05,1.854E-05,0,0,
638140285186790677,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.852E-05,1.854E-05,0,0,
638140285188924534,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.853E-05,1.854E-05,0,0,
638140285280883936,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.853E-05,1.855E-05,0,0,
638140285351072645,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.855E-05,0,0,
638140285461158352,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.854E-05,0,0,
638140285576945773,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.853E-05,0,0,
638140285620799897,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.854E-05,0,0,
638140285621911253,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.853E-05,0,0,
638140285730974677,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.854E-05,0,0,
638140285732878712,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.853E-05,0,0,
638140285742951078,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.854E-05,0,0,
638140285744864354,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.853E-05,0,0,
638140285757945042,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.852E-05,0,0,
638140285761906420,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.853E-05,0,0,
638140285765803123,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.852E-05,0,0,
638140285767841243,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.853E-05,0,0,
638140285771858033,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.852E-05,0,0,
638140285772904931,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.853E-05,0,0,
638140285968938842,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.854E-05,0,0,
638140285969887746,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.853E-05,0,0,
638140286034935818,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.854E-05,0,0,
638140286051906033,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.855E-05,0,0,
638140286093044541,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.853E-05,1.855E-05,0,0,
638140286143198193,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.855E-05,0,0,
638140286223876621,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.853E-05,1.855E-05,0,0,
638140286287918571,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.854E-05,1.855E-05,0,0,
638140286542916734,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.855E-05,1.855E-05,0,0,
638140286542920591,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.855E-05,1.857E-05,0,0,
638140286553881613,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.856E-05,1.857E-05,0,0,
638140286584001426,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.856E-05,1.858E-05,0,0,
638140286733843102,1.853E-05,1.854E-05,1.85E-05,1.855E-05,1.857E-05,1.858E-05,0,0,
