time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,krakenETHUSDTbidMax,krakenETHUSDTsellMin,cryptoETHUSDTbidMax,cryptoETHUSDTsellMin,
14 March 2023 05:45:33,1670.45,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.45,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.45,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.45,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.46,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.48,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:34,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:34,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:34,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:34,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:34,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:34,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:34,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:34,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:34,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:34,1670.53,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
