time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,cryptoLTCBTCbidMax,cryptoLTCBTCsellMin,
638143201316892731,0.003383,0.003384,0.00337846,0.0033883,0.003382,0.003384,0.00338028,0.00338008,0.0033822,0.0033792,
638143201317713104,0.003383,0.003384,0.00337846,0.0033883,0.003382,0.003384,0.00338028,0.00338008,0.0033822,0.0033792,
638143201317713965,0.003383,0.003384,0.00337846,0.0033883,0.003382,0.003384,0.00338028,0.00338008,0.0033822,0.0033792,
638143201317956771,0.003383,0.003384,0.00337846,0.0033883,0.003382,0.003388,0.00338028,0.00338008,0.0033822,0.0033792,
638143201318996722,0.003383,0.003384,0.00337846,0.0033883,0.003382,0.003388,0.00338028,0.00338008,0.0033822,0.0033792,
638143201318997338,0.003383,0.003384,0.00337846,0.0033883,0.003382,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201319939732,0.003384,0.003384,0.00337846,0.0033883,0.003382,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201319942350,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201319956094,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201319956565,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201320905146,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201320906371,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201321129110,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201321129790,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201321930011,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201321957907,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201322085161,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201322851937,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201323849527,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201325766182,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003387,0.00338028,0.00338008,0.0033822,0.0033792,
638143201326069212,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003386,0.00338028,0.00338008,0.0033822,0.0033792,
638143201326070131,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003386,0.00338028,0.00338008,0.0033822,0.0033792,
638143201326953321,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003386,0.00338028,0.00338008,0.0033822,0.0033792,
638143201326955415,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003386,0.00338028,0.00338008,0.0033822,0.0033792,
638143201329891689,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003386,0.00338028,0.00338008,0.0033822,0.0033792,
638143201341842947,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003386,0.00338035,0.00338008,0.0033822,0.0033792,
638143201343858791,0.003385,0.003385,0.00337846,0.0033883,0.003383,0.003386,0.00338035,0.00338008,0.0033822,0.0033792,
638143201343859285,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338035,0.00338008,0.0033822,0.0033792,
638143201343859686,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338035,0.00338008,0.0033822,0.0033792,
638143201343860084,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338035,0.00338008,0.0033822,0.0033792,
638143201344264149,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201344750072,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201344751947,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201345824917,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201348974034,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201349188107,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201350002442,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201350014657,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201350842360,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201351821257,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201355854863,0.003384,0.003386,0.00337846,0.0033883,0.003383,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
