time,binanceETHBTCbidMax,binanceETHBTCsellMin,nicehashETHBTCbidMax,nicehashETHBTCsellMin,okxETHBTCETH-BTCbidMax,okxETHBTCETH-BTCsellMin,bitstampETHBTCbidMax,bitstampETHBTCsellMin,cryptoETHBTCbidMax,cryptoETHBTCsellMin,
638143201276792204,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201277882603,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201277898888,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201278778019,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201278896645,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201279793104,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201280030880,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201280884116,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201281864019,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201282797225,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201282990601,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201284856301,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201285910712,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201286752533,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201287863770,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201289701373,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201290765943,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201290766740,0.069363,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201290767860,0.069363,0.069364,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201291817376,0.069363,0.069364,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201293684944,0.069363,0.069364,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201295794498,0.069364,0.069364,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201295795402,0.069366,0.069364,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201295796093,0.069366,0.069364,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201295797502,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201296078227,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201296871838,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201296872804,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201297975685,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201297977371,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201298887422,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201299924191,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
