time,binanceBCHBTCbidMax,binanceBCHBTCsellMin,nicehashBCHBTCbidMax,nicehashBCHBTCsellMin,okxBCHBTCBCH-BTCbidMax,okxBCHBTCBCH-BTCsellMin,bitstampBCHBTCbidMax,bitstampBCHBTCsellMin,cryptoBCHBTCbidMax,cryptoBCHBTCsellMin,
638143206483307183,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206483307705,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206485517371,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206490176493,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206494433260,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206506491749,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206509251717,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206512357124,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206519306941,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206519308262,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206521163787,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206522649460,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206523348052,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206529108732,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206532636868,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206548415208,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206560223078,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206563045637,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206567424802,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206573343423,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206573349490,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206579229590,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206591420501,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206594283757,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206596089924,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206602667429,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206612514997,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206617358217,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206623406678,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206650115862,0.00527,0.00528,0.00526342,0.0052967,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
