time,binanceXRPUSDTbidMax,binanceXRPUSDTsellMin,nicehashXRPUSDTbidMax,nicehashXRPUSDTsellMin,okxXRPUSDTXRP-USDTbidMax,okxXRPUSDTXRP-USDTsellMin,bitstampXRPUSDTbidMax,bitstampXRPUSDTsellMin,krakenXRPUSDTbidMax,krakenXRPUSDTsellMin,cryptoXRPUSDTbidMax,cryptoXRPUSDTsellMin,
638143201084035303,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201084047193,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201085731046,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201085732942,0.3738,0.374,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201087714271,0.374,0.374,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201087715005,0.374,0.374,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201089898087,0.374,0.3741,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201090393283,0.374,0.3741,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201090530875,0.374,0.3741,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201090531645,0.374,0.3741,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201091291649,0.374,0.3741,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201091295815,0.374,0.3741,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201091314163,0.374,0.3741,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201091658284,0.374,0.374,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201091659251,0.374,0.374,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201092967936,0.374,0.374,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201093974016,0.374,0.374,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201095648508,0.374,0.374,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201095800447,0.374,0.374,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201098778459,0.374,0.374,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201099890388,0.374,0.374,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201104891533,0.374,0.374,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201105744173,0.374,0.374,0.37349,0.37451,0.3743,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201105958590,0.374,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201106674788,0.374,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201106800125,0.374,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201107589368,0.374,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201107744132,0.374,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201107745009,0.374,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201108686621,0.374,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201109776049,0.374,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201110143205,0.374,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201110919344,0.374,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201111801044,0.374,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201112685813,0.3739,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201112686462,0.3739,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201112688702,0.3739,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201112903234,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201113715438,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201113717983,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201114723960,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201114725401,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201115797492,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201117651570,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201117652189,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201117914458,0.3739,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201120726048,0.3739,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201120728245,0.3739,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201120981177,0.3739,0.374,0.37349,0.37451,0.37425,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201120981977,0.3739,0.374,0.37349,0.37451,0.37425,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201121677906,0.3739,0.374,0.37349,0.37451,0.37425,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201121678444,0.3739,0.374,0.37349,0.37451,0.37425,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201121837473,0.3739,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201122801783,0.3739,0.374,0.37349,0.37451,0.37424,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201122882911,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201123659215,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201123659807,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201127750394,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201130638015,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201134695988,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201136748475,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201136750499,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201138802802,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201139729301,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201140798487,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201142771670,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201143697799,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201144627051,0.3739,0.374,0.37349,0.37451,0.37423,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
