time,binanceAAVEBTCbidMax,binanceAAVEBTCsellMin,nicehashAAVEBTCbidMax,nicehashAAVEBTCsellMin,okxAAVEBTCAAVE-BTCbidMax,okxAAVEBTCAAVE-BTCsellMin,bitstampAAVEBTCbidMax,bitstampAAVEBTCsellMin,cryptoAAVEBTCbidMax,cryptoAAVEBTCsellMin,
638143199590294516,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199596886285,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199603194091,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199608996816,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199612598053,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199613917637,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199620257347,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199621917240,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199623466762,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199629052464,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199635342840,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199640495381,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199645754431,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199646892498,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199653025955,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199658803736,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199664987629,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199670785068,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199676670753,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199682503184,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199688198450,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199694454041,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199700358536,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199703578587,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199709238505,0,0,0,0,0,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199711040029,0,0,0,0,0.003147,0,0.00315389,0.00316202,0.0031498,0.0031638,
638143199711054249,0,0,0,0,0.003147,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199711054755,0,0,0,0,0.003147,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199715145962,0,0,0,0,0.003147,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199719096080,0,0,0,0,0.003147,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199719856138,0,0,0,0,0.003151,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199719856606,0,0,0,0,0.003151,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199719857068,0,0,0,0,0.003151,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199720866766,0,0,0,0,0.003152,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199721550448,0,0,0,0,0.003152,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199721932826,0,0,0,0,0.003152,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199723079702,0,0,0,0,0.003152,0.003161,0.00315389,0.00316202,0.0031498,0.0031638,
638143199723274160,0,0,0,0,0.003151,0.003161,0.00315389,0.00316202,0.0031498,0.0031638,
638143199723950010,0,0,0,0,0.003151,0.003161,0.00315389,0.00316202,0.0031498,0.0031638,
638143199726973300,0,0,0,0,0.003151,0.003161,0.00315389,0.00316202,0.0031498,0.0031638,
638143199728344516,0,0,0,0,0.003151,0.003161,0.00315389,0.00316202,0.0031498,0.0031638,
638143199729132343,0,0,0,0,0.003152,0.003161,0.00315389,0.00316202,0.0031498,0.0031638,
638143199729135451,0,0,0,0,0.003152,0.003157,0.00315389,0.00316202,0.0031498,0.0031638,
638143199729853305,0,0,0,0,0.003153,0.003157,0.00315389,0.00316202,0.0031498,0.0031638,
