time,binanceXLMBTCbidMax,binanceXLMBTCsellMin,nicehashXLMBTCbidMax,nicehashXLMBTCsellMin,okxXLMBTCXLM-BTCbidMax,okxXLMBTCXLM-BTCsellMin,bitstampXLMBTCbidMax,bitstampXLMBTCsellMin,cryptoXLMBTCbidMax,cryptoXLMBTCsellMin,
638143214617950829,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214618870442,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214623067290,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214626237732,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214627379336,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214632175559,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214634218800,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214639071620,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214640017985,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214641471130,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214642390447,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
