time,binanceSOLUSDTbidMax,binanceSOLUSDTsellMin,nicehashSOLUSDTbidMax,nicehashSOLUSDTsellMin,okxSOLUSDTSOL-USDTbidMax,okxSOLUSDTSOL-USDTsellMin,krakenSOLUSDTbidMax,krakenSOLUSDTsellMin,cryptoSOLUSDTbidMax,cryptoSOLUSDTsellMin,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:16,19.24,19.23,19.27,19.29,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:16,19.24,19.23,19.27,19.29,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:16,19.24,19.23,19.27,19.29,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:16,19.24,19.23,19.27,19.29,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:16,19.24,19.23,19.27,19.29,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:17,19.24,19.23,19.27,19.29,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:17,19.24,19.23,19.27,19.28,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:17,19.24,19.23,19.27,19.27,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:17,19.24,19.23,19.27,19.27,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:18,19.24,19.23,19.27,19.27,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:18,19.24,19.23,19.27,19.27,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:18,19.24,19.23,19.27,19.27,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:18,19.24,19.23,19.27,19.27,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:18,19.24,19.23,19.27,19.27,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:19,19.24,19.23,19.27,19.27,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:19,19.24,19.23,19.27,19.27,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:19,19.24,19.23,19.27,19.27,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:19,19.24,19.23,19.27,19.27,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:19,19.24,19.23,19.27,19.27,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:19,19.24,19.23,19.27,19.27,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:19,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:19,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:20,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:20,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:20,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:20,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:20,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:21,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:22,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:22,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:22,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:22,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:22,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:22,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:24,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:24,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:24,19.24,19.23,19.27,19.27,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:24,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:24,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:24,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:24,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:24,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:25,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:25,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:25,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:25,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:25,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:26,19.24,19.23,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:27,19.24,19.23,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:28,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:28,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:28,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:28,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:30,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:31,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:32,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:32,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:32,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:32,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:32,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:33,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:33,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:34,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:34,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:34,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:35,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:35,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:35,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:36,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:36,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:36,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:36,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:36,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:37,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:38,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:41,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:41,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:41,19.24,19.24,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:41,19.24,19.24,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:42,19.24,19.24,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:42,19.24,19.24,19.27,19.27,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:42,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:42,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:42,19.24,19.24,19.27,19.27,19.246,19.237,19.54,19.04,19.319,19.2,
